mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.7879134019215902,0.04485103936091018,0.20676000912984213,0.01465252395935499,0.5,3000,2,"(1, 1)","{'classifier__C': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6227585689029791,0.6226604418407929,0.6230109404413434,0.6228099837283718,0.0001476367850493992,1
1.3985737164815266,0.01181167171579575,0.29598522186279297,0.009614356246655943,0.5,3000,2,"(1, 2)","{'classifier__C': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.622277630629643,0.620940259114616,0.6191846648972229,0.6208008515471607,0.0012665399343300533,6
0.8104403813680013,0.030306813799297973,0.20186249415079752,0.0103107233357815,0.5,3000,3,"(1, 1)","{'classifier__C': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.6213553006627744,0.6222870537334706,0.6217592982088364,0.6218005508683605,0.0003815034142497161,3
1.8057680130004883,0.4543113595119061,0.46387767791748047,0.03782164776102268,0.5,3000,3,"(1, 2)","{'classifier__C': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.6228620236695327,0.6202301840994795,0.618110752168369,0.6204009866457937,0.0019434548878759206,7
1.0932386716206868,0.23507990639728085,0.26219669977823895,0.06828256658872552,0.5,5000,2,"(1, 1)","{'classifier__C': 0.5, 'tfidf__max_features': 5000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6201921402833486,0.6213162881606261,0.6235532053685956,0.6216872112708568,0.0013969914321126035,4
1.5603235562642415,0.10223007918993915,0.31501952807108563,0.005176869678023248,0.5,5000,2,"(1, 2)","{'classifier__C': 0.5, 'tfidf__max_features': 5000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6265242775737184,0.6193704828458749,0.6166015981152949,0.6208321195116294,0.004180684012269078,5
0.8516184488932291,0.06255558887227157,0.19379758834838867,0.004112847123523071,0.5,5000,3,"(1, 1)","{'classifier__C': 0.5, 'tfidf__max_features': 5000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.6211286712319105,0.623151658890404,0.6230527035478391,0.6224443445567179,0.0009311982471213524,2
1.603263219197591,0.023471511767326474,0.3763399124145508,0.027655529414946072,0.5,5000,3,"(1, 2)","{'classifier__C': 0.5, 'tfidf__max_features': 5000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.6258100774376393,0.6186535070819037,0.6166111904947549,0.6203582583380993,0.0039441528774560785,8
0.8908552328745524,0.03673865662636203,0.22439217567443848,0.05371080210810452,1.0,3000,2,"(1, 1)","{'classifier__C': 1.0, 'tfidf__max_features': 3000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6197842359784116,0.6204197649868696,0.6179087566518082,0.6193709192056964,0.0010659624072929367,9
2.296945333480835,0.3106857130094042,0.45689884821573895,0.1098093736215079,1.0,3000,2,"(1, 2)","{'classifier__C': 1.0, 'tfidf__max_features': 3000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6203447520427131,0.6185235893857638,0.6152981249357331,0.61805548878807,0.0020866959395812496,13
0.9197769165039062,0.029621249099961923,0.1948514779408773,0.0004916611315452848,1.0,3000,3,"(1, 1)","{'classifier__C': 1.0, 'tfidf__max_features': 3000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.6185808570878344,0.6197862049225059,0.6165727477520454,0.6183132699207952,0.001325463168246996,12
1.5836029052734375,0.03099152204507943,0.33659013112386066,0.004538816056485311,1.0,3000,3,"(1, 2)","{'classifier__C': 1.0, 'tfidf__max_features': 3000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.6200383412298455,0.6181132535887549,0.6149529638788708,0.6177015195658236,0.0020964111205710474,14
0.9205813407897949,0.025282699501043875,0.19881598154703775,0.014940288228177483,1.0,5000,2,"(1, 1)","{'classifier__C': 1.0, 'tfidf__max_features': 5000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6169666592459458,0.6184201252930254,0.621126852443627,0.6188378789941994,0.0017238891063796288,11
1.5852644443511963,0.06057800857473372,0.3442903359731038,0.047561574403490146,1.0,5000,2,"(1, 2)","{'classifier__C': 1.0, 'tfidf__max_features': 5000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6179655510086433,0.6119328958245428,0.6094853933522284,0.6131279467284715,0.003563647800278852,22
1.377792755762736,0.2722135389919927,0.34198427200317383,0.024360431008521907,1.0,5000,3,"(1, 1)","{'classifier__C': 1.0, 'tfidf__max_features': 5000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.6173757787697128,0.6193969526788586,0.6207803240573209,0.6191843518352974,0.0013980060783977796,10
1.8805008729298909,0.1438487167081866,0.33009998003641766,0.00958301876514704,1.0,5000,3,"(1, 2)","{'classifier__C': 1.0, 'tfidf__max_features': 5000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.618328985392354,0.612103893588236,0.6110047587027477,0.6138125458944459,0.0032249747986428934,19
0.8995510737101237,0.05839460958145371,0.1860185464223226,0.018394671917459977,1.5,3000,2,"(1, 1)","{'classifier__C': 1.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6161115060048398,0.617947976675426,0.6168621173471255,0.6169738666757971,0.0007538886148164404,15
1.6560872395833333,0.06204330904741494,0.30887476603190106,0.02264181826398346,1.5,3000,2,"(1, 2)","{'classifier__C': 1.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6153413851008714,0.6153241397120676,0.6101486794744406,0.6136047347624599,0.0024438102717195707,21
0.9984916051228842,0.012688994985478272,0.19334832827250162,0.003890142713181007,1.5,3000,3,"(1, 1)","{'classifier__C': 1.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.6165661407144745,0.6170808557997512,0.6159051252418385,0.616517373918688,0.00048122706801184483,16
2.1851065158843994,0.45397161685487497,0.5092746416727701,0.11879399104861327,1.5,3000,3,"(1, 2)","{'classifier__C': 1.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.6148039014230234,0.6148756832374519,0.6115291939256554,0.6137362595287102,0.001560906166165777,20
1.3366820017496746,0.18748728269540973,0.22316265106201172,0.03747133981907307,1.5,5000,2,"(1, 1)","{'classifier__C': 1.5, 'tfidf__max_features': 5000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6129622542616656,0.6159970282800562,0.6185840930674765,0.6158477918697328,0.0022975307787934736,18
1.6784398555755615,0.10381842057324485,0.3184968630472819,0.023434266521131134,1.5,5000,2,"(1, 2)","{'classifier__C': 1.5, 'tfidf__max_features': 5000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6147335393202432,0.6071403670341442,0.6048577995867411,0.608910568647043,0.004221592837914752,24
1.0192492008209229,0.05072320625927988,0.19863303502400717,0.0015203378613951534,1.5,5000,3,"(1, 1)","{'classifier__C': 1.5, 'tfidf__max_features': 5000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.6132484564363042,0.6163195392230876,0.6187529319822974,0.616106975880563,0.0022522137465241007,17
1.497340202331543,0.3135882733816708,0.2779849370320638,0.07180247801069804,1.5,5000,3,"(1, 2)","{'classifier__C': 1.5, 'tfidf__max_features': 5000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.6183002239114167,0.6071712148902207,0.6062281519896641,0.6105665302637672,0.005482083240604349,23
